,Time,Wind Speed,DNI
132,2021-07-06 12:30:00,7.0,909
133,2021-07-06 13:30:00,5.0,916
134,2021-07-06 14:30:00,9.0,889
135,2021-07-06 15:30:00,10.0,843
136,2021-07-06 16:30:00,10.0,762
137,2021-07-06 17:30:00,9.0,621
138,2021-07-06 18:30:00,10.0,323
139,2021-07-06 19:30:00,10.0,0
140,2021-07-06 20:30:00,9.0,0
141,2021-07-06 21:30:00,7.0,0
142,2021-07-06 22:30:00,6.0,0
143,2021-07-06 23:30:00,6.0,0
144,2021-07-07 00:30:00,8.0,0
145,2021-07-07 01:30:00,7.0,0
146,2021-07-07 02:30:00,6.0,0
147,2021-07-07 03:30:00,6.0,0
148,2021-07-07 04:30:00,7.0,0
149,2021-07-07 05:30:00,5.0,325
150,2021-07-07 06:30:00,6.0,595
151,2021-07-07 07:30:00,3.0,727
152,2021-07-07 08:30:00,3.0,799
153,2021-07-07 09:30:00,6.0,830
154,2021-07-07 10:30:00,5.0,839
155,2021-07-07 11:30:00,8.0,843
156,2021-07-07 12:30:00,8.0,850
157,2021-07-07 13:30:00,8.0,852
158,2021-07-07 14:30:00,10.0,821
159,2021-07-07 15:30:00,10.0,771
160,2021-07-07 16:30:00,9.0,688
161,2021-07-07 17:30:00,10.0,541
162,2021-07-07 18:30:00,13.0,254
163,2021-07-07 19:30:00,12.0,0
164,2021-07-07 20:30:00,9.0,0
165,2021-07-07 21:30:00,9.0,0
166,2021-07-07 22:30:00,9.0,0
167,2021-07-07 23:30:00,6.0,0
168,2021-07-08 00:30:00,7.0,0
169,2021-07-08 01:30:00,3.0,0
170,2021-07-08 02:30:00,8.0,0
171,2021-07-08 03:30:00,7.0,0
172,2021-07-08 04:30:00,3.0,0
173,2021-07-08 05:30:00,0.0,240
174,2021-07-08 06:30:00,0.0,343
175,2021-07-08 07:30:00,0.0,609
176,2021-07-08 08:30:00,6.0,754
177,2021-07-08 09:30:00,6.0,575
178,2021-07-08 10:30:00,5.0,205
179,2021-07-08 11:30:00,10.0,198
180,2021-07-08 12:30:00,8.0,202
181,2021-07-08 13:30:00,10.0,136
182,2021-07-08 14:30:00,9.0,600
183,2021-07-08 15:30:00,9.0,708
184,2021-07-08 16:30:00,12.0,609
185,2021-07-08 17:30:00,13.0,454
186,2021-07-08 18:30:00,8.0,44
187,2021-07-08 19:30:00,8.0,0
188,2021-07-08 20:30:00,8.0,0
189,2021-07-08 21:30:00,8.0,0
190,2021-07-08 22:30:00,7.0,0
191,2021-07-08 23:30:00,6.0,0
192,2021-07-09 00:30:00,7.0,0
193,2021-07-09 01:30:00,5.0,0
194,2021-07-09 02:30:00,0.0,0
195,2021-07-09 03:30:00,7.0,0
196,2021-07-09 04:30:00,3.0,0
197,2021-07-09 05:30:00,5.0,244
198,2021-07-09 06:30:00,7.0,523
199,2021-07-09 07:30:00,5.0,670
200,2021-07-09 08:30:00,3.0,752
201,2021-07-09 09:30:00,6.0,794
202,2021-07-09 10:30:00,7.0,810
203,2021-07-09 11:30:00,9.0,811
204,2021-07-09 12:30:00,8.0,821
205,2021-07-09 13:30:00,5.0,833
206,2021-07-09 14:30:00,13.0,808
207,2021-07-09 15:30:00,12.0,758
208,2021-07-09 16:30:00,12.0,672
209,2021-07-09 17:30:00,10.0,524
210,2021-07-09 18:30:00,12.0,237
211,2021-07-09 19:30:00,12.0,0
212,2021-07-09 20:30:00,8.0,0
213,2021-07-09 21:30:00,8.0,0
214,2021-07-09 22:30:00,9.0,0
215,2021-07-09 23:30:00,7.0,0
216,2021-07-10 00:30:00,8.0,0
217,2021-07-10 01:30:00,7.0,0
218,2021-07-10 02:30:00,7.0,0
219,2021-07-10 03:30:00,6.0,0
220,2021-07-10 04:30:00,6.0,0
221,2021-07-10 05:30:00,0.0,143
222,2021-07-10 06:30:00,0.0,391
223,2021-07-10 07:30:00,5.0,556
224,2021-07-10 08:30:00,3.0,268
225,2021-07-10 09:30:00,0.0,402
226,2021-07-10 10:30:00,6.0,369
227,2021-07-10 11:30:00,8.0,815
228,2021-07-10 12:30:00,10.0,520
229,2021-07-10 13:30:00,13.0,733
230,2021-07-10 14:30:00,15.0,775
231,2021-07-10 15:30:00,13.0,724
232,2021-07-10 16:30:00,12.0,642
233,2021-07-10 17:30:00,13.0,494
234,2021-07-10 18:30:00,9.0,213
235,2021-07-10 19:30:00,8.0,0
236,2021-07-10 20:30:00,5.0,0
237,2021-07-10 21:30:00,5.0,0
238,2021-07-10 22:30:00,6.0,0
239,2021-07-10 23:30:00,8.0,0
240,2021-07-11 00:30:00,5.0,0
241,2021-07-11 01:30:00,8.0,0
242,2021-07-11 02:30:00,7.0,0
243,2021-07-11 03:30:00,5.0,0
244,2021-07-11 04:30:00,0.0,0
245,2021-07-11 05:30:00,0.0,165
246,2021-07-11 06:30:00,0.0,402
247,2021-07-11 07:30:00,6.0,546
248,2021-07-11 08:30:00,0.0,640
249,2021-07-11 09:30:00,6.0,706
250,2021-07-11 10:30:00,10.0,742
251,2021-07-11 11:30:00,8.0,751
252,2021-07-11 12:30:00,9.0,711
253,2021-07-11 13:30:00,10.0,762
254,2021-07-11 14:30:00,14.0,732
255,2021-07-11 15:30:00,10.0,677
256,2021-07-11 16:30:00,14.0,594
257,2021-07-11 17:30:00,9.0,446
258,2021-07-11 18:30:00,9.0,182
259,2021-07-11 19:30:00,8.0,0
260,2021-07-11 20:30:00,6.0,0
261,2021-07-11 21:30:00,6.0,0
262,2021-07-11 22:30:00,6.0,0
263,2021-07-11 23:30:00,5.0,0
264,2021-07-12 00:30:00,5.0,0
265,2021-07-12 01:30:00,3.0,0
266,2021-07-12 02:30:00,5.0,0
267,2021-07-12 03:30:00,0.0,0
268,2021-07-12 04:30:00,6.0,0
269,2021-07-12 05:30:00,8.0,185
270,2021-07-12 06:30:00,8.0,439
271,2021-07-12 07:30:00,6.0,583
272,2021-07-12 08:30:00,9.0,671
273,2021-07-12 09:30:00,7.0,718
274,2021-07-12 10:30:00,3.0,744
275,2021-07-12 11:30:00,0.0,764
276,2021-07-12 12:30:00,8.0,762
277,2021-07-12 13:30:00,14.0,740
278,2021-07-12 14:30:00,10.0,704
279,2021-07-12 15:30:00,14.0,646
280,2021-07-12 16:30:00,14.0,563
281,2021-07-12 17:30:00,12.0,416
282,2021-07-12 18:30:00,10.0,161
283,2021-07-12 19:30:00,7.0,0
284,2021-07-12 20:30:00,6.0,0
285,2021-07-12 21:30:00,6.0,0
286,2021-07-12 22:30:00,8.0,0
287,2021-07-12 23:30:00,7.0,0
288,2021-07-13 00:30:00,6.0,0
289,2021-07-13 01:30:00,6.0,0
290,2021-07-13 02:30:00,3.0,0
291,2021-07-13 03:30:00,7.0,0
292,2021-07-13 04:30:00,8.0,0
293,2021-07-13 05:30:00,3.0,0
294,2021-07-13 06:30:00,0.0,58
295,2021-07-13 07:30:00,5.0,0
296,2021-07-13 08:30:00,5.0,8
