,Unnamed: 0,airspeed,battery_hours_val,length,diameter,S_solar,score
153,215,8,30,21.304920052492367,4.177902916502329,56.84313606055063,-0.0
158,188,7,45,22.086059037402816,4.345047205258416,45.82296651714594,-0.0
161,162,6,65,22.456941139399124,4.4828031732030365,36.06900875161611,-0.0
162,216,8,35,22.768507581444393,4.390723623597095,61.14267271150853,-0.0
165,244,9,25,23.121241711137788,4.266677000665913,77.48021233379944,-0.0
166,243,9,20,23.125669070791748,3.818053481157322,69.34676362450296,-0.0
168,189,7,50,23.13962535325954,4.497144451507519,47.97918913234398,-0.0
169,163,6,70,23.20344484182425,4.588530006209864,37.056262962484304,-0.0
175,164,6,75,23.93543594996105,4.693362305294643,38.05381774567704,-0.0
176,190,7,55,24.17256052859285,4.648574070452332,50.18577253975748,-0.0
177,217,8,40,24.20350854453784,4.604001934428031,65.62402147704354,-0.0
179,245,9,30,24.474052351348735,4.613249307785615,86.21321382220933,-0.0
181,165,6,80,24.65444620450505,4.797350275545091,39.06169480552753,-0.0
183,191,7,60,25.18800514609893,4.799339839809987,52.442236205856254,-0.0
185,166,6,85,25.361779777831373,4.900543202182598,40.07994047146146,-0.0
186,218,8,45,25.61624589295921,4.817454279781357,70.28354437515766,-0.0
187,144,5,125,25.830714944275492,5.094957507766129,31.066475451069007,-0.0
188,167,6,90,26.058556858885375,5.0029884502297115,41.10861499712139,-0.0
189,192,7,65,26.18844699646069,4.9494623260711705,54.748263431224096,-0.0
190,145,5,130,26.303318781920648,5.162726062082664,31.483608494268957,-0.0
191,246,9,35,26.39255338335678,4.907540262075111,95.27522986650516,-0.0
193,168,6,95,26.74574707264253,5.104730939321474,42.147785683605235,-0.0
194,146,5,135,26.769771691394528,5.229937691309443,31.901912142137576,-0.0
195,219,8,50,27.011167112409357,5.030908981416164,75.11848199579137,-0.0
196,193,7,70,27.17588903295632,5.098970357092314,57.103629397511035,-0.0
197,147,5,140,27.230436855500255,5.2966186199941205,32.32142888309458,-0.0
198,169,6,100,27.42419549985199,5.2058129078189666,43.197522442572414,-0.0
199,148,5,145,27.6856464798167,5.362793414252618,32.74219958277701,-0.0
200,170,6,105,28.0946432116307,5.306273852388869,44.25789494099197,-0.0
201,149,5,150,28.135705274683144,5.4284851033865476,33.16426342108124,-0.0
202,194,7,75,28.151966079773626,5.247896172751619,59.508159290194904,-0.0
203,247,9,40,28.293030527571116,5.203183403843688,104.85060159344744,-0.0
204,220,8,55,28.39149472903189,5.244257042423662,80.12652453855924,-0.0
205,171,6,110,28.757743672215515,5.406150572435874,45.32897078437148,-0.0
206,195,7,80,29.118028179247425,5.396272670103393,61.961703494327026,-0.0
207,172,6,115,29.41407580752515,5.505477284656655,46.41081435210624,-0.0
208,221,8,60,29.75962078047442,5.457426063760531,85.30560028460431,-0.0
209,173,6,120,30.064155688925418,5.604285713892416,47.50348631043926,-0.0
210,196,7,85,30.07520152140284,5.544131866426177,64.4641227897209,-0.0
211,248,9,45,30.179469224526205,5.499645620676499,114.92749141661216,-0.0
212,174,6,125,30.708443652975387,5.702605341112652,48.6070428876046,-0.0
213,197,7,90,31.024433895415687,5.691504080198043,67.01527955204128,-0.0
214,222,8,65,31.117355146034072,5.670365944159935,90.65376722421033,-0.0
215,175,6,130,31.347353438016498,5.800463467273711,49.72153608201874,-0.0
216,198,7,95,31.96652918881292,5.838417538220479,69.61503262528656,-0.0
217,176,6,135,31.981257459039377,5.897885416862998,50.84701346175652,-0.0
218,249,9,50,32.05437558141991,5.796544290135628,125.49497306827496,-0.0
219,223,8,70,32.46609145894349,5.8830405686298874,96.1691582605573,-0.0
220,177,6,140,32.61049216552117,5.994894678902597,51.98351827230023,-0.0
221,199,7,100,32.90217398851806,5.984898234830406,72.26323447819378,-0.0
222,178,6,145,33.235362427811516,6.091513049326939,53.131089565710475,-0.0
223,224,8,75,33.806918183310195,6.0954229999512854,101.84995289183038,-0.0
224,200,7,105,33.831958366085104,6.130969938457501,74.95972978365808,-0.0
225,179,6,150,33.85614527206015,6.18776076421681,54.28976236538887,-0.0
226,250,9,55,33.91937320732405,6.093595032555529,136.542749270815,-0.0
227,201,7,110,34.75639231827997,6.276654281492186,77.70435489031298,-0.0
228,225,8,80,35.14069670198333,6.307492532880051,107.69436378874914,-0.0
229,202,7,115,35.67591891173799,6.421970894330955,80.49693784794994,-0.0
230,251,9,60,35.77554302718205,6.390581626218533,148.06103652246952,-0.0
231,226,8,85,36.46811685752211,6.519232868856574,113.70063108192603,-0.0
232,203,7,120,36.590924894362296,6.566937559666784,83.33729876973126,-0.0
233,204,7,125,37.501749336957594,6.711570372526544,86.22525039140965,-0.0
234,252,9,65,37.623625340804,6.68733723001465,160.04051476261932,-0.0
235,227,8,90,37.78973726517694,6.73063095164666,119.8670207327956,-0.0
236,205,7,130,38.408690726241154,6.855883897785159,89.16059873534078,-0.0
237,228,8,95,39.10601503628147,6.941676203754944,126.19182495021172,-0.0
238,206,7,135,39.31201282713041,6.99989131932652,92.14314382319756,-0.0
239,253,9,70,39.464143090199414,6.983731978159739,172.4723020442182,-0.0
240,207,7,140,40.21194956316633,7.143604579939657,95.17268039480744,-0.0
241,229,8,100,40.41732799585824,7.15236000994735,132.6733635223096,-0.0
242,275,10,30,40.80842619076397,4.541153807334914,145.547899909998,-0.0
243,276,10,35,40.97497234927575,5.023523806885544,161.66537710100295,-0.0
244,274,10,25,41.07501640068427,4.061359501968715,131.0204434889771,-0.0
245,208,7,145,41.10870909967819,7.287034509229887,98.24899861361496,-0.0
246,254,9,75,41.29747876337394,7.279664361882117,185.3479373393764,-0.0
247,277,10,40,41.46256775255264,5.508557201997989,179.38409895662707,-0.0
248,230,8,105,41.723991487523335,7.36267535628695,139.30998543982642,-0.0
249,273,10,20,41.936566404984035,3.5838702912890263,118.04158658137216,-0.0
250,209,7,150,42.002477281129735,7.430190940244605,101.37188474092062,-0.0
251,278,10,45,42.19141534301265,5.996190004606828,198.69611066238585,-0.0
252,231,8,110,43.026271211372986,7.5726165673076276,146.1000704662518,-0.0
253,279,10,50,43.10360112926192,6.486257401693897,219.58244641050297,-0.0
254,255,9,80,43.12392317136374,7.575054999758304,198.65936485374644,-0.0
255,272,10,15,43.63656899670506,3.108265706151297,106.52673556751756,-0.0
256,280,10,55,44.15646781272557,6.978540611839913,242.01864311981024,-0.0
257,232,8,115,44.32439316683073,7.782179115219353,153.04203057004608,-0.0
